# 课文对话行的拼音 + 英文翻译（手工源，convert_texts.py 回灌到 lines[]）
# 格式: 汉字<TAB>拼音<TAB>英文  —— 按去重后的对话行（说话人已去掉）
# 拼音为 tone-marked，不/一 采用变调写法；数字读作汉字处已转拼音，电话号码保留原样。
# 目前覆盖 newhsk3 第 1 单元（试水）。
AI小语，你好！	AI Xiǎoyǔ, nǐ hǎo!	AI Xiaoyu, hello!
我也想起来了。她现在慢慢地开始像个女孩子了。	Wǒ yě xiǎng qǐlai le. Tā xiànzài mànmàn de kāishǐ xiàng ge nǚháizi le.	I remember now too. She's slowly starting to look like a young lady.
上次我们参加骑马比赛的照片，我选了几张洗出来了。	Shàng cì wǒmen cānjiā qí mǎ bǐsài de zhàopiàn, wǒ xuǎn le jǐ zhāng xǐ chūlai le.	I picked a few of the photos from the horse-riding race we joined last time and had them printed.
快给我看看。骑得最快的这位是谁？	Kuài gěi wǒ kànkan. Qí de zuì kuài de zhè wèi shì shéi?	Show me quick. Who's this one riding the fastest?
你没看出来吗？他是小刚啊。	Nǐ méi kàn chūlai ma? Tā shì Xiǎo Gāng a.	Can't you tell? That's Xiao Gang.
怎么看上去跟现在不太一样？	Zěnme kàn shàngqu gēn xiànzài bú tài yíyàng?	How come he looks a bit different from now?
他上班穿西服、衬衫，比赛的时候穿的是运动服。	Tā shàngbān chuān xīfú, chènshān, bǐsài de shíhou chuān de shì yùndòngfú.	He wears a suit and shirt to work, but during the race he wore sportswear.
他今天穿蓝西服，看上去像40多岁，还是穿运动服让他更年轻。	Tā jīntiān chuān lán xīfú, kàn shàngqu xiàng sìshí duō suì, háishi chuān yùndòngfú ràng tā gèng niánqīng.	He's wearing a blue suit today and looks over forty; sportswear makes him look younger.
我们一年没见面了吧？	Wǒmen yì nián méi jiànmiàn le ba?	It's been a year since we last met, hasn't it?
听说你都有女儿了？她多大了？	Tīngshuō nǐ dōu yǒu nǚ'ér le? Tā duō dà le?	I heard you have a daughter now? How old is she?
她去年秋天出生的，刚过完一岁生日。	Tā qùnián qiūtiān chūshēng de, gāng guò wán yí suì shēngrì.	She was born last autumn and just had her first birthday.
她喜欢什么？我送给她。	Tā xǐhuan shénme? Wǒ sòng gěi tā.	What does she like? I'll get her a gift.
她就喜欢听她爸爸学鸟叫。哭的时候，只要他爸爸学小鸟叫，她马上就安静下来了。	Tā jiù xǐhuan tīng tā bàba xué niǎo jiào. Kū de shíhou, zhǐyào tā bàba xué xiǎo niǎo jiào, tā mǎshàng jiù ānjìng xiàlai le.	She just loves hearing her dad imitate birds. When she cries, as soon as he mimics a little bird, she calms right down.
啊？这个礼物我没办法送。	À? Zhège lǐwù wǒ méi bànfǎ sòng.	Huh? That's a gift I can't give.
这次旅游，我去了不少地方，每个地方都让我非常难忘。我先去看了黄河，黄河是中国有名的大河，我坐在船上，一边看一边照相。一路上经过了很多地方，每个地方都不一样。我想快点儿把照片发给大家，叫朋友们也高兴高兴。	Zhè cì lǚyóu, wǒ qù le bù shǎo dìfang, měi ge dìfang dōu ràng wǒ fēicháng nánwàng. Wǒ xiān qù kàn le Huáng Hé, Huáng Hé shì Zhōngguó yǒumíng de dà hé, wǒ zuò zài chuán shàng, yìbiān kàn yìbiān zhàoxiàng. Yílù shàng jīngguò le hěn duō dìfang, měi ge dìfang dōu bù yíyàng. Wǒ xiǎng kuài diǎnr bǎ zhàopiàn fā gěi dàjiā, jiào péngyoumen yě gāoxìng gāoxìng.	On this trip I visited many places, each one unforgettable. First I went to see the Yellow River, a famous great river in China; sitting on a boat, I looked and took photos. Along the way I passed many places, each different. I want to hurry and send everyone the photos so my friends can enjoy them too.
我的照相机被谁拿走了？怎么找不到了？	Wǒ de zhàoxiàngjī bèi shéi ná zǒu le? Zěnme zhǎobudào le?	Who took my camera? Why can't I find it?
你再找找。是不是没带来？	Nǐ zài zhǎozhao. Shì bu shì méi dài lái?	Look again. Did you maybe not bring it?
我找了，没找到啊。	Wǒ zhǎo le, méi zhǎodào a.	I looked, but couldn't find it.
别难过，再买一个吧，公司东门外不就有一个大商场吗？	Bié nánguò, zài mǎi yí ge ba, gōngsī dōngmén wài bú jiù yǒu yí ge dà shāngchǎng ma?	Don't be upset—just buy another. Isn't there a big mall right outside the company's east gate?
但是我这个月信用卡里的钱已经花得差不多了。	Dànshì wǒ zhège yuè xìnyòngkǎ li de qián yǐjīng huā de chàbuduō le.	But I've already spent almost all the money on my credit card this month.
你怎么突然关心起体育来了？	Nǐ zěnme tūrán guānxīn qǐ tǐyù lái le?	Why have you suddenly gotten interested in sports?
我的男朋友喜欢看足球比赛，我被他影响的。	Wǒ de nánpéngyou xǐhuan kàn zúqiú bǐsài, wǒ bèi tā yǐngxiǎng de.	My boyfriend likes watching soccer, and he got me into it.
看来只有爱，才能让人有变化。	Kànlái zhǐyǒu ài, cái néng ràng rén yǒu biànhuà.	It seems only love can change a person.
是啊，为了和他的爱好一样，我天天看球赛。	Shì a, wèile hé tā de àihào yíyàng, wǒ tiāntiān kàn qiúsài.	Yeah—to share his hobby, I watch matches every day.
除了足球，他还影响你什么了？	Chúle zúqiú, tā hái yǐngxiǎng nǐ shénme le?	Besides soccer, what else has he influenced you on?
我最近天天上网玩儿游戏，我的成绩差极了。	Wǒ zuìjìn tiāntiān shàngwǎng wánr yóuxì, wǒ de chéngjì chà jí le.	Lately I play games online every day, and my grades are terrible.
那个拿着碗吃饭的人是你哥哥吗？他和你长得真像。	Nàge názhe wǎn chī fàn de rén shì nǐ gēge ma? Tā hé nǐ zhǎng de zhēn xiàng.	Is the one holding a bowl and eating your older brother? He looks just like you.
我们经常被别人认错。	Wǒmen jīngcháng bèi biéren rèncuò.	People often mistake us for each other.
只有你们的爸爸妈妈才能分出来哪个是哥哥，哪个是弟弟吧。	Zhǐyǒu nǐmen de bàba māma cái néng fēn chūlai nǎge shì gēge, nǎge shì dìdi ba.	Only your mom and dad can tell which is the older brother and which is the younger, I bet.
除了父母以外，还有我们自己也能啊。	Chúle fùmǔ yǐwài, hái yǒu wǒmen zìjǐ yě néng a.	Besides our parents, we ourselves can too.
你们两个除了长得像，还有什么相同的地方？	Nǐmen liǎng ge chúle zhǎng de xiàng, hái yǒu shénme xiāngtóng de dìfang?	Besides looking alike, what else do you two have in common?
我们住在同一个楼、同一个房间……	Wǒmen zhù zài tóng yí ge lóu, tóng yí ge fángjiān……	We live in the same building, in the same room…
年轻人遇到难题，常常很着急，不知道怎么办。其实，不同的问题有不同的解决办法。有些问题看上去很难，但是做起来非常简单，所以得试着做做。有些问题看上去虽然简单，但是解决起来难极了。所以只有真正做事情的时候，才能了解有多难。不过，我们一定要相信：多么难的问题，都会被解决的。	Niánqīng rén yùdào nántí, chángcháng hěn zháojí, bù zhīdào zěnme bàn. Qíshí, bùtóng de wèntí yǒu bùtóng de jiějué bànfǎ. Yǒuxiē wèntí kàn shàngqu hěn nán, dànshì zuò qǐlai fēicháng jiǎndān, suǒyǐ děi shìzhe zuòzuo. Yǒuxiē wèntí kàn shàngqu suīrán jiǎndān, dànshì jiějué qǐlai nán jí le. Suǒyǐ zhǐyǒu zhēnzhèng zuò shìqing de shíhou, cái néng liǎojiě yǒu duō nán. Búguò, wǒmen yídìng yào xiāngxìn: duōme nán de wèntí, dōu huì bèi jiějué de.	When young people run into tough problems, they often get anxious and don't know what to do. Actually, different problems have different solutions. Some problems look hard but are very simple to do, so you have to try. Some look simple but are extremely hard to solve. So only when you actually do something can you understand how hard it is. Still, we must believe: no matter how hard a problem is, it can be solved.
# --- 新版 HSK2 (newhsk3-2) ---
请问，您是王一飞老师的姐姐吗？	Qǐngwèn, nín shì Wáng Yīfēi lǎoshī de jiějie ma?	Excuse me, are you Teacher Wang Yifei's sister?
是的，你们就是她的学生吧？	Shì de, nǐmen jiù shì tā de xuésheng ba?	Yes—you must be her students?
对。我是白家月，她是安妮。	Duì. Wǒ shì Bái Jiāyuè, tā shì Ānnī.	Right. I'm Bai Jiayue, and she's Annie.
你们好，我叫王一雪。一飞给我打电话了，让我来接你们。	Nǐmen hǎo, wǒ jiào Wáng Yīxuě. Yīfēi gěi wǒ dǎ diànhuà le, ràng wǒ lái jiē nǐmen.	Hello, I'm Wang Yixue. Yifei called me and asked me to come pick you up.
谢谢您。	Xièxie nín.	Thank you.
你们是第一次来北京吗？	Nǐmen shì dì-yī cì lái Běijīng ma?	Is this your first time in Beijing?
是的，我们都是第一次来。	Shì de, wǒmen dōu shì dì-yī cì lái.	Yes, it's the first time for both of us.
你们是来学中文的吗？	Nǐmen shì lái xué Zhōngwén de ma?	Are you here to study Chinese?
不是，我们是来旅游的。	Bú shì, wǒmen shì lái lǚyóu de.	No, we're here to travel.
我这几天都不忙，你们有事就找我。	Wǒ zhè jǐ tiān dōu bù máng, nǐmen yǒu shì jiù zhǎo wǒ.	I'm free these days—come to me if you need anything.
好的，谢谢您。	Hǎo de, xièxie nín.	Okay, thank you.
喂，家月，你明天有时间吗？我想请你帮个忙。	Wéi, Jiāyuè, nǐ míngtiān yǒu shíjiān ma? Wǒ xiǎng qǐng nǐ bāng ge máng.	Hello, Jiayue, do you have time tomorrow? I'd like to ask you for a favor.
不好意思，天中，我已经到北京了。	Bù hǎoyìsi, Tiānzhōng, wǒ yǐjīng dào Běijīng le.	Sorry, Tianzhong, I've already arrived in Beijing.
你是什么时候到的？	Nǐ shì shénme shíhou dào de?	When did you get there?
我是今天早上到的。你有事可以叫李文帮忙，他还在学校呢。	Wǒ shì jīntiān zǎoshang dào de. Nǐ yǒu shì kěyǐ jiào Lǐ Wén bāngmáng, tā hái zài xuéxiào ne.	I got here this morning. If you need help, you can ask Li Wen—he's still at school.
好的，那我给他打个电话。	Hǎo de, nà wǒ gěi tā dǎ ge diànhuà.	Okay, then I'll give him a call.
好，再见！	Hǎo, zàijiàn!	Okay, bye!
王老师，我们已经到北京了，是您姐姐来接的我们。她请我们吃了北京烤鸭，还给我们介绍了很多东西。我们的中文不太好，有时不太懂她的意思。	Wáng lǎoshī, wǒmen yǐjīng dào Běijīng le, shì nín jiějie lái jiē de wǒmen. Tā qǐng wǒmen chī le Běijīng kǎoyā, hái gěi wǒmen jièshào le hěn duō dōngxi. Wǒmen de Zhōngwén bú tài hǎo, yǒushí bú tài dǒng tā de yìsi.	Teacher Wang, we've arrived in Beijing—your sister came to pick us up. She treated us to Peking duck and told us about many things. Our Chinese isn't very good, so sometimes we don't quite understand what she means.
请问，这儿有到北京大学的公交车吗？	Qǐngwèn, zhèr yǒu dào Běijīng Dàxué de gōngjiāochē ma?	Excuse me, is there a bus to Peking University from here?
有，但车站有点儿远。	Yǒu, dàn chēzhàn yǒudiǎnr yuǎn.	Yes, but the bus stop is a bit far.
这儿好打车吗？	Zhèr hǎo dǎ chē ma?	Is it easy to get a taxi here?
好打车。	Hǎo dǎ chē.	Yes, easy.
谢谢。安妮，我们还是打车去吧。	Xièxie. Ānnī, wǒmen háishi dǎ chē qù ba.	Thanks. Annie, let's just take a taxi.
好，没问题。	Hǎo, méi wèntí.	Okay, no problem.
学校里人真多啊！	Xuéxiào li rén zhēn duō a!	There are so many people on campus!
是啊，北京大学有四万多名学生呢！	Shì a, Běijīng Dàxué yǒu sì wàn duō míng xuésheng ne!	Yeah, Peking University has over forty thousand students!
你是怎么知道的？	Nǐ shì zěnme zhīdào de?	How do you know?
是网上说的，网上还说北京大学有三千多名外国学生。	Shì wǎng shàng shuō de, wǎng shàng hái shuō Běijīng Dàxué yǒu sānqiān duō míng wàiguó xuésheng.	It said so online—it also said Peking University has over three thousand foreign students.
我也想来这儿学习。	Wǒ yě xiǎng lái zhèr xuéxí.	I'd like to study here too.
那边就有一间教室，我们去看一下吧。	Nàbiān jiù yǒu yì jiān jiàoshì, wǒmen qù kàn yíxià ba.	There's a classroom right over there—let's go take a look.
家月，你看，学校里有家电影院！	Jiāyuè, nǐ kàn, xuéxiào li yǒu jiā diànyǐngyuàn!	Jiayue, look—there's a cinema on campus!
是啊，电影院还不小。	Shì a, diànyǐngyuàn hái bù xiǎo.	Yeah, and it's not small either.
他们卖的电影票也很便宜。	Tāmen mài de diànyǐngpiào yě hěn piányi.	The movie tickets they sell are cheap too.
天啊！有的还不到二十块钱。	Tiān a! Yǒude hái bú dào èrshí kuài qián.	Wow! Some are even under twenty yuan.
那你想不想去看个电影？	Nà nǐ xiǎng bu xiǎng qù kàn ge diànyǐng?	So do you want to go see a movie?
还是别看电影了，北京大学本身就很好看！	Háishi bié kàn diànyǐng le, Běijīng Dàxué běnshēn jiù hěn hǎokàn!	Let's not watch a movie—Peking University itself is worth seeing!
北京大学很大，有四万多名学生。学校很漂亮，里边还有几家电影院，电影票也不贵，我们有时间还想再过来看个电影。	Běijīng Dàxué hěn dà, yǒu sì wàn duō míng xuésheng. Xuéxiào hěn piàoliang, lǐbian hái yǒu jǐ jiā diànyǐngyuàn, diànyǐngpiào yě bú guì, wǒmen yǒu shíjiān hái xiǎng zài guòlai kàn ge diànyǐng.	Peking University is huge, with over forty thousand students. The campus is beautiful, and there are several cinemas inside with cheap tickets—when we have time, we'd like to come back and watch a movie.
你快点儿吧。	Nǐ kuài diǎnr ba.	Hurry up.
没事，一雪姐说11点前到就可以。	Méi shì, Yīxuě jiě shuō shíyī diǎn qián dào jiù kěyǐ.	It's fine—Sister Yixue said it's okay as long as we arrive before eleven.
家月、安妮，快进来！我给你们介绍一下，这是孩子们的爷爷、奶奶。	Jiāyuè, Ānnī, kuài jìnlai! Wǒ gěi nǐmen jièshào yíxià, zhè shì háizimen de yéye, nǎinai.	Jiayue, Annie, come in! Let me introduce you—these are the children's grandpa and grandma.
爷爷、奶奶好！	Yéye, nǎinai hǎo!	Hello, Grandpa and Grandma!
这是送你们的礼物。	Zhè shì sòng nǐmen de lǐwù.	This is a gift for you.
你们太客气了，还拿这么多礼物来！	Nǐmen tài kèqi le, hái ná zhème duō lǐwù lái!	You're too kind—bringing so many gifts!
一雪姐，这是给孩子们准备的礼物。	Yīxuě jiě, zhè shì gěi háizimen zhǔnbèi de lǐwù.	Sister Yixue, these are gifts for the children.
谢谢！你们别客气，快坐吧！	Xièxie! Nǐmen bié kèqi, kuài zuò ba!	Thanks! Make yourselves at home—have a seat!
都12点了，我们吃饭吧。	Dōu shí'èr diǎn le, wǒmen chī fàn ba.	It's already twelve—let's eat.
这么多好吃的，您太会做菜了！	Zhème duō hǎochī de, nín tài huì zuò cài le!	So much delicious food—you're a wonderful cook!
都是我自己做的，你们多吃点儿。	Dōu shì wǒ zìjǐ zuò de, nǐmen duō chī diǎnr.	I made it all myself—help yourselves to more.
奶茶也很好喝，是您自己做的吗？	Nǎichá yě hěn hǎohē, shì nín zìjǐ zuò de ma?	The milk tea is delicious too—did you make it yourself?
不是，奶茶是爷爷买的。	Bú shì, nǎichá shì yéye mǎi de.	No, Grandpa bought the milk tea.
在哪儿买的？我还没喝过这么好喝的奶茶。	Zài nǎr mǎi de? Wǒ hái méi hēguo zhème hǎohē de nǎichá.	Where did he buy it? I've never had such good milk tea.
就在前边的商场，吃完饭你们可以跟我去看看。	Jiù zài qiánbian de shāngchǎng, chī wán fàn nǐmen kěyǐ gēn wǒ qù kànkan.	At the mall up ahead—after the meal you can come with me to have a look.
回国前一天，我们去一雪姐家了。到她家的时候，饭菜都做好了。刘爷爷还准备了奶茶。因为吃了太多东西，我们吃完饭是走回酒店的。	Huí guó qián yì tiān, wǒmen qù Yīxuě jiě jiā le. Dào tā jiā de shíhou, fàncài dōu zuò hǎo le. Liú yéye hái zhǔnbèi le nǎichá. Yīnwèi chī le tài duō dōngxi, wǒmen chī wán fàn shì zǒu huí jiǔdiàn de.	The day before returning home, we went to Sister Yixue's place. By the time we arrived, the meal was ready. Grandpa Liu had also prepared milk tea. Because we ate too much, we walked back to the hotel after the meal.
明天就是女儿的生日了。	Míngtiān jiù shì nǚ'ér de shēngrì le.	Tomorrow is our daughter's birthday.
你不说，我还真忘了。我们给她准备个什么礼物呢？	Nǐ bù shuō, wǒ hái zhēn wàng le. Wǒmen gěi tā zhǔnbèi ge shénme lǐwù ne?	If you hadn't mentioned it, I'd have forgotten. What gift should we get her?
她喜欢画画，你觉得画笔怎么样？	Tā xǐhuan huà huà, nǐ juéde huàbǐ zěnmeyàng?	She likes drawing—how about some paintbrushes?
就送画笔吧！	Jiù sòng huàbǐ ba!	Paintbrushes it is!
那我明天上午就去买。	Nà wǒ míngtiān shàngwǔ jiù qù mǎi.	Then I'll go buy them tomorrow morning.
好！我再给她买个大大的生日蛋糕。	Hǎo! Wǒ zài gěi tā mǎi ge dàdà de shēngrì dàngāo.	Great! And I'll buy her a big birthday cake.
小雪，生日快乐！	Xiǎoxuě, shēngrì kuàilè!	Xiaoxue, happy birthday!
姐姐，生日快乐！	Jiějie, shēngrì kuàilè!	Happy birthday, big sister!
小雪，这是爸爸、妈妈送你的礼物。	Xiǎoxuě, zhè shì bàba, māma sòng nǐ de lǐwù.	Xiaoxue, this is a gift from Mom and Dad.
你打开看看喜欢不喜欢。	Nǐ dǎkāi kànkan xǐhuan bu xǐhuan.	Open it and see if you like it.
画笔！我很喜欢！	Huàbǐ! Wǒ hěn xǐhuan!	Paintbrushes! I love them!
你想画什么？	Nǐ xiǎng huà shénme?	What do you want to draw?
画我们的家！有爸爸、妈妈、弟弟，还有黑色的狗、白色的猫什么的。	Huà wǒmen de jiā! Yǒu bàba, māma, dìdi, háiyǒu hēisè de gǒu, báisè de māo shénme de.	Our family! With Dad, Mom, little brother, and a black dog, a white cat, and so on.
那我要画一个穿白色衣服的姐姐。	Nà wǒ yào huà yí ge chuān báisè yīfu de jiějie.	Then I'll draw my big sister in white clothes.
小雪，看看今天有什么好吃的。	Xiǎoxuě, kànkan jīntiān yǒu shénme hǎochī de.	Xiaoxue, look at all the good food today.
长长的面条儿，大大的蛋糕。	Chángcháng de miàntiáor, dàdà de dàngāo.	Long noodles and a big cake.
你看，还有鱼啊肉啊什么的，都是你喜欢吃的。	Nǐ kàn, háiyǒu yú a ròu a shénme de, dōu shì nǐ xǐhuan chī de.	Look, there's fish and meat and so on—all your favorites.
谢谢爸爸、妈妈！	Xièxie bàba, māma!	Thank you, Mom and Dad!
快去叫弟弟过来吃饭吧，吃完饭我们还要出去玩呢。	Kuài qù jiào dìdi guòlai chī fàn ba, chī wán fàn wǒmen hái yào chūqu wán ne.	Go call your little brother to come eat—after the meal we're going out to have fun.
生日真好啊！	Shēngrì zhēn hǎo a!	Birthdays are wonderful!
是的，过生日就要吃好吃的，还要高高兴兴地玩。	Shì de, guò shēngrì jiù yào chī hǎochī de, hái yào gāogāoxìngxìng de wán.	Yes—on your birthday you eat good food and have a joyful time.
今天是女儿的生日。我们买了蛋糕，做了面条儿，还做了鱼啊肉啊什么的。吃完晚饭，一家人去看了个电影。回家后，孩子们早早地就上床了。明天不上学，他们说要舒舒服服地睡一觉，让我们晚点儿叫他们起床。这是很忙、很累，但很快乐的一天。	Jīntiān shì nǚ'ér de shēngrì. Wǒmen mǎi le dàngāo, zuò le miàntiáor, hái zuò le yú a ròu a shénme de. Chī wán wǎnfàn, yìjiā rén qù kàn le ge diànyǐng. Huí jiā hòu, háizimen zǎozǎo de jiù shàngchuáng le. Míngtiān bú shàngxué, tāmen shuō yào shūshūfúfú de shuì yí jiào, ràng wǒmen wǎn diǎnr jiào tāmen qǐchuáng. Zhè shì hěn máng, hěn lèi, dàn hěn kuàilè de yì tiān.	Today is our daughter's birthday. We bought a cake, made noodles, and cooked fish, meat, and so on. After dinner, the whole family went to see a movie. Back home, the children went to bed early. There's no school tomorrow, so they said they want to sleep in comfortably and asked us to wake them up later. It was a busy, tiring, but very happy day.
安妮，你是什么时候从北京回来的？	Ānnī, nǐ shì shénme shíhou cóng Běijīng huílai de?	Annie, when did you get back from Beijing?
昨天下午。天中，你怎么一下课就往外跑？	Zuótiān xiàwǔ. Tiānzhōng, nǐ zěnme yí xiàkè jiù wǎng wài pǎo?	Yesterday afternoon. Tianzhong, why do you dash outside the moment class ends?
我跟同学说好了，一起去打篮球。	Wǒ gēn tóngxué shuōhǎo le, yìqǐ qù dǎ lánqiú.	I arranged with classmates to go play basketball together.
我也想跟你们一起玩。	Wǒ yě xiǎng gēn nǐmen yìqǐ wán.	I'd like to join you too.
没问题，走吧。	Méi wèntí, zǒu ba.	No problem, let's go.
天中，你是不是很喜欢打篮球？	Tiānzhōng, nǐ shì bu shì hěn xǐhuan dǎ lánqiú?	Tianzhong, do you really like playing basketball?
没错。	Méicuò.	That's right.
你还喜欢什么运动？	Nǐ hái xǐhuan shénme yùndòng?	What other sports do you like?
我还喜欢踢足球，一到星期天就跟朋友们一起踢。	Wǒ hái xǐhuan tī zúqiú, yí dào xīngqītiān jiù gēn péngyoumen yìqǐ tī.	I also like soccer—every Sunday I play with friends.
你踢得怎么样？	Nǐ tī de zěnmeyàng?	How well do you play?
我踢得还可以。	Wǒ tī de hái kěyǐ.	I play okay.
你篮球打得怎么样？	Nǐ lánqiú dǎ de zěnmeyàng?	How well do you play basketball?
打得还可以。	Dǎ de hái kěyǐ.	I play okay.
你跑得快不快？	Nǐ pǎo de kuài bu kuài?	Do you run fast?
我跑得不快，也不太喜欢跑步。	Wǒ pǎo de bú kuài, yě bú tài xǐhuan pǎobù.	I don't run fast, and I don't really like running.
那你喜欢游泳吗？	Nà nǐ xǐhuan yóuyǒng ma?	Then do you like swimming?
喜欢，但我游泳游得不快。	Xǐhuan, dàn wǒ yóuyǒng yóu de bú kuài.	Yes, but I don't swim fast.
我的爱好是运动。从上小学开始，我每天都跟爸爸去运动。现在我篮球打得很好，足球踢得不错，游泳游得也很快。我一有时间就去运动。	Wǒ de àihào shì yùndòng. Cóng shàng xiǎoxué kāishǐ, wǒ měi tiān dōu gēn bàba qù yùndòng. Xiànzài wǒ lánqiú dǎ de hěn hǎo, zúqiú tī de búcuò, yóuyǒng yóu de yě hěn kuài. Wǒ yì yǒu shíjiān jiù qù yùndòng.	My hobby is sports. Ever since primary school, I've gone exercising with my dad every day. Now I play basketball very well, soccer pretty well, and swim fast too. Whenever I have time, I go exercise.
你看，这两块手表怎么样？	Nǐ kàn, zhè liǎng kuài shǒubiǎo zěnmeyàng?	Look—what do you think of these two watches?
都不错！	Dōu búcuò!	Both are nice!
我喜欢左边这个。	Wǒ xǐhuan zuǒbian zhège.	I like the one on the left.
我也觉得左边的比右边的好看。	Wǒ yě juéde zuǒbian de bǐ yòubian de hǎokàn.	I also think the left one looks better than the right one.
你看看要多少钱！	Nǐ kànkan yào duōshao qián!	Look at how much it costs!
不便宜！8800元！	Bù piányi! Bāqiān bā bǎi yuán!	Not cheap! 8,800 yuan!
今天有不少电影，我们看个电影吧。	Jīntiān yǒu bù shǎo diànyǐng, wǒmen kàn ge diànyǐng ba.	There are lots of movies today—let's watch one.
好啊！我们看哪个？	Hǎo a! Wǒmen kàn nǎge?	Sure! Which one should we watch?
我记得你喜欢看爱情片，我们看那个爱情片，怎么样？	Wǒ jìde nǐ xǐhuan kàn àiqíngpiàn, wǒmen kàn nàge àiqíngpiàn, zěnmeyàng?	I remember you like romance films—how about that romance one?
还是看这个吧，我看网上说这个电影比那个爱情片更有意思。	Háishi kàn zhège ba, wǒ kàn wǎng shàng shuō zhège diànyǐng bǐ nàge àiqíngpiàn gèng yǒu yìsi.	Let's watch this one instead—online it says this movie is more interesting than that romance film.
好啊，我去买票。	Hǎo a, wǒ qù mǎi piào.	Okay, I'll go buy tickets.
到网上买吧，网上买比在这里买便宜。	Dào wǎng shàng mǎi ba, wǎng shàng mǎi bǐ zài zhèlǐ mǎi piányi.	Buy them online—it's cheaper than buying here.
您好！就要这几个菜吧，谢谢！	Nín hǎo! Jiù yào zhè jǐ ge cài ba, xièxie!	Hello! We'll just have these dishes, thanks!
怎么点这么多菜？	Zěnme diǎn zhème duō cài?	Why did you order so many dishes?
你想想，今天是几月几号？	Nǐ xiǎngxiang, jīntiān shì jǐ yuè jǐ hào?	Think about it—what's the date today?
8月27号。啊！我的生日！	Bā yuè èrshíqī hào. À! Wǒ de shēngrì!	August 27th. Oh! My birthday!
生日快乐！虽然你忘了，但是我记得。看看这是什么？	Shēngrì kuàilè! Suīrán nǐ wàng le, dànshì wǒ jìde. Kànkan zhè shì shénme?	Happy birthday! Even though you forgot, I remembered. Look, what's this?
手表！吃饭、看电影、买手表，今天花了不少钱吧？	Shǒubiǎo! Chī fàn, kàn diànyǐng, mǎi shǒubiǎo, jīntiān huā le bù shǎo qián ba?	A watch! Dinner, a movie, a watch—you spent quite a lot today, didn't you?
虽然花了一些钱，但是我们过了一个快乐的生日。	Suīrán huā le yìxiē qián, dànshì wǒmen guò le yí ge kuàilè de shēngrì.	We spent some money, but we had a happy birthday.
虽然妻子忘了今天是自己的生日，但是丈夫记得。丈夫请妻子去饭馆吃饭、去电影院看电影，还给妻子买了一块非常漂亮的手表。妻子觉得今天很快乐。	Suīrán qīzi wàng le jīntiān shì zìjǐ de shēngrì, dànshì zhàngfu jìde. Zhàngfu qǐng qīzi qù fànguǎn chī fàn, qù diànyǐngyuàn kàn diànyǐng, hái gěi qīzi mǎi le yí kuài fēicháng piàoliang de shǒubiǎo. Qīzi juéde jīntiān hěn kuàilè.	Although the wife forgot it was her own birthday, the husband remembered. He took her to a restaurant for dinner and to the cinema for a movie, and bought her a very beautiful watch. The wife felt very happy today.
儿子的裤子坏了，我们给他买条新的吧。	Érzi de kùzi huài le, wǒmen gěi tā mǎi tiáo xīn de ba.	Our son's pants are worn out—let's buy him a new pair.
好。	Hǎo.	Okay.
你看这条黑色的怎么样？	Nǐ kàn zhè tiáo hēisè de zěnmeyàng?	What do you think of these black ones?
没有你上次买的那条好看。	Méiyǒu nǐ shàng cì mǎi de nà tiáo hǎokàn.	Not as nice as the pair you bought last time.
旁边那个男孩儿就穿了这样的裤子，我觉得很好看啊！	Pángbiān nàge nánháir jiù chuān le zhèyàng de kùzi, wǒ juéde hěn hǎokàn a!	That boy next to us is wearing pants like these—I think they look great!
儿子的个子没有他那么高，穿上就不会太好看。	Érzi de gèzi méiyǒu tā nàme gāo, chuān shàng jiù bú huì tài hǎokàn.	Our son isn't as tall as him, so they wouldn't look as good on him.
好吧，我们再去那边看看。	Hǎo ba, wǒmen zài qù nàbiān kànkan.	All right, let's go look over there.
门口有家奶茶店。你想喝杯奶茶吗？	Ménkǒu yǒu jiā nǎichádiàn. Nǐ xiǎng hē bēi nǎichá ma?	There's a milk tea shop at the entrance. Would you like a cup of milk tea?
我想喝咖啡，我们去咖啡店吧。	Wǒ xiǎng hē kāfēi, wǒmen qù kāfēidiàn ba.	I'd like coffee—let's go to a coffee shop.
咖啡店离这儿有点儿远。	Kāfēidiàn lí zhèr yǒudiǎnr yuǎn.	The coffee shop is a bit far from here.
没关系，那家店的咖啡很好喝。	Méi guānxi, nà jiā diàn de kāfēi hěn hǎohē.	It's fine—that shop's coffee is really good.
那你等一下，我去买杯奶茶。	Nà nǐ děng yíxià, wǒ qù mǎi bēi nǎichá.	Then wait a sec—I'll go get a cup of milk tea.
你不想喝咖啡吗？	Nǐ bù xiǎng hē kāfēi ma?	Don't you want coffee?
喝了咖啡，晚上就睡不着觉了。	Hē le kāfēi, wǎnshang jiù shuìbuzháo jiào le.	If I drink coffee, I won't be able to sleep at night.
我们打车回去吧。	Wǒmen dǎ chē huíqu ba.	Let's take a taxi back.
这里离家很近，还是走路吧。	Zhèlǐ lí jiā hěn jìn, háishi zǒulù ba.	Home is close from here—let's just walk.
要走多长时间？	Yào zǒu duō cháng shíjiān?	How long is the walk?
走半个多小时就到了。	Zǒu bàn ge duō xiǎoshí jiù dào le.	About half an hour on foot.
